trait,description
BXD_10047,"Central nervous system, pharmacology, behavior: Quinpirole dopaminergic D2 and D3 receptor response (1 mg/kg ip), hypothermia tolerance, day 2 compared to day 1 [degrees C]"
BXD_10048,"Central nervous system, pharmacology, behavior: Quinpirole dopaminergic D2 and D3 receptor response (1 mg/kg ip), hypothermia tolerance, day 3 compared to day 1 [degrees C]"
BXD_10049,"Central nervous system, behavior: Saline response (ip injection), locomotor activation (control for quinpirole study) [cm]"
BXD_10050,"Central nervous system, pharmacology, behavior: Quinpirole dopaminergic D2 and D3 receptor response (0.01 mg/kg ip), locomotion change relative to baseline [cm]"
BXD_10051,"Central nervous system, pharmacology, behavior: Quinpirole dopaminergic D2 and D3 receptor response (0.03 mg/kg ip), locomotion change relative to baseline [cm]"
BXD_10052,"Central nervous system, pharmacology, behavior: Quinpirole dopaminergic D2 and D3 receptor response (0.03 mg/kg ip), vertical activity (rears) change relative to baseline [n beam breaks]"
BXD_10053,"Central nervous system, pharmacology, behavior: Quinpirole dopaminergic D2 and D3 receptor response (0.01 mg/kg ip), vertical activity (rears) change relative to baseline [n beam breaks]"
BXD_10054,"Central nervous system, behavior: Saline baseline response (ip, control for quinpirole study), vertical activity (rears, beam breaks) after injection [n]"
BXD_10055,"Central nervous system, pharmacology, behavior: Ethanol withdrawal handling induced convulsions (HIC), 2-12 hours after 4 g/kg 20% v/v ethanol injection (ip), area under curve  [HIC AUC]"
BXD_10056,"Immune system, development: Hematopoietic stem cell pool size, cobblestone area-forming cells per 100,000 bone marrow cells [n]"
BXD_10057,"Immune system: T-cell anergy induced by Bacillus Calmetteâ€“GuÃ©rin tuberculosis vaccine (BCG), delayed type hypersensitivity in footpad increments [mm]"
BXD_10058,"Immune system, cardiovascular system: Peripheral blood lymphocytes, percentage of B cells [B220 %]"
BXD_10059,"Immune system, cardiovascular system: Peripheral blood lymphocytes, percentage of CD4+ T cells [%]"
BXD_10060,"Immune system, cardiovascular system: Peripheral blood lymphocytes, percentage of CD8+ T cells [%]"
BXD_10061,"Immune system,  pulmonary system: Polymorphonuclear leukocyte number (PMN) after aerosolized LPS exposure [PMN/ml (x103)]"
BXD_10062,"Immune system,  pulmonary system: Tumor necrosis factor (TNF)-alpha level in lung after aerosolized lipopolysaccharide (LPS) exposure [pg/ml]"
BXD_10063,"Central nervous system, pharmacology, behavior: Ethanol response, withdrawal-associated handling-induced convulsions (HIC) after a 72 hr exposure to ethanol vapor (with Pyrazole injections to inhibit EtOH metabolism) (0=no effect, 1=facial grimace during tail spin, 2=tonic convulsion during spin, 3=tonic-clonic convulsion during spin, 4= tonic convulsion on lift only, 5=tonic-clonic on lift only) [seizure severity score area-under-25-hr curve]"
BXD_10064,"Central nervous system, pharmacology, behavior: Ethanol response, area under the 25-hr curve for withdrawal following 72 hr exposure to air. Pyrazole injections were given daily to inhibit EtOH metabolism. Handling-induced convulsions (HIC) were scored hourly for 10 hr and again at hrs 24 and 25 [seizure severity]"
BXD_10065,"Central nervous system, pharmacology, behavior: Ethanol response (1.5 g/kg ip loading dose and 68.1 mg/kg pyrazole), chronic withdrawal, handling-induced convulsion score (HIC) corrected for response to pyrazole alone (difference between strain mean values for AREA25 and PYRAREA25) (0=no effect, 1=facial grimace during tail spin, 2=tonic convulsion during spin, 3=tonic-clonic convulsion during spin, 4= tonic convulsion on lift only, 5=tonic-clonic on lift only)  [seizure severity]"
BXD_10066,"Central nervous system, pharmacology, behavior: Ethanol response (1.5 g/kg), blood ethanol concentration (BEC) normalization data set (BEC was stabilized to ~1.5 mg EtOH/ml blood using daily pyrazole injections) [mg/ml]"
BXD_10067,"Central nervous system, pharmacology, metabolism: Ethanol response (2 g/kg ip), hypothermia at 30 and 60 min after injection [degrees C]"
BXD_10068,"Central nervous system, pharmacology, metabolism: Ethanol response (3 g/kg ip), hypothermia at 30 and 60 min after injection [degrees C]"
BXD_10069,"Central nervous system, pharmacology, metabolism: Ethanol response (4 g/kg ip), hypothermia at 30 and 60 min after injection [degrees C]"
BXD_10070,"Central nervous system, pharmacology, metabolism: Ethanol response (2 g/kg ip), hypothermia after injection [degrees C]"
BXD_10071,"Central nervous system, pharmacology, metabolism: Ethanol response (3 g/kg ip), hypothermia after injection [degrees C]"
BXD_10072,"Central nervous system, pharmacology, metabolism: Ethanol response (4 g/kg ip), hypothermia after injection [degrees C]"
BXD_10073,"Central nervous system, pharmacology, behavior: Ethanol response (10% v/v in water), acceptance of ethanol under thirst motivation in a single-bottle (no choice) test following 24 hr water deprivation, total 24 hr ethanol intake relative to previous water intake in 20-24 week-old males [ratio]"
BXD_10074,"Central nervous system, pharmacology, behavior: Ethanol response (10% v/v in water), acceptance of ethanol under thirst motivation in a single-bottle (no choice) test following 24 hr water deprivation, total 24 hr ethanol intake in 20-24 week-old males [g/kg]"
BXD_10075,"Central nervous system, pharmacology, behavior: Saline response (saline injection ip), open field activity in 20-24 week-old males (control for ethanol trait 10077) [beam crossings]"
BXD_10076,"Central nervous system, pharmacology, behavior: Ethanol response (2.5 g/kg ip), distance run in the grid test, 10-12 min after injection in 20-24 week-old males [n beam crossings]"
BXD_10077,"Central nervous system, pharmacology, behavior: Ethanol response (1.33 g/kg ip), open field activity in 20-24 week-old males tested under dim light, 10-13 min after injection of saline (day 1) and ethanol (day 2), difference in number of beam crossings relative to saline control injection [n]"
BXD_10078,"Central nervous system, pharmacology, behavior: Ethanol response (2.5 g/kg ip), ataxia on grid test, 10 to 12 min after injection in 24-28 week-old males, foot fall errors/distance run in the apparatus [n/distance]"
BXD_10079,"Central nervous system, pharmacology, behavior: Ethanol response (3 day exposure to 8-11 g/kg ethanol in vapor chamber with pyrazole 1 mM/kg/day), handling-induced convulsion (HIC) withdrawal severity score (15x 1 hour measurements) in 24-28 week-old males, first experimental replication (Table 4) [HIC area under curve]"
BXD_10080,"Central nervous system, pharmacology, behavior: Ethanol response (3 day exposure to 8-11 g/kg ethanol in vapor chamber with pyrazole 1 mM/kg/day), handling-induced convulsion (HIC) withdrawal severity score (15x 1 hour measurements) in 24-28 week-old males, second experimental replication (Table 4) [HIC area under curve]"
BXD_10081,"Central nervous system, pharmacology, behavior: Ethanol response (3 day exposure to 8-11 g/kg ethanol in vapor chamber with pyrazole 1 mM/kg/day), handling-induced convulsion (HIC) withdrawal severity score (15x 1 hour measurements) in 24-28 week-old males, third experimental replication (Table 4) [HIC area under curve]"
BXD_10082,"Central nervous system, pharmacology, metabolism: Ethanol response (4 g/kg ip), hypothermia tolerance (positive scores) or sensitization (negative scores), day 3 minus day 1, in young adult females (50 to 123 days) [degrees C]"
BXD_10083,"Central nervous system, pharmacology, metabolism: Ethanol response (3 g/kg ip), hypothermia tolerance (positive scores) or sensitization (negative scores), day 3 minus day 1, in young adult females (50 to 123 days) [degrees C]"
BXD_10084,"Central nervous system, pharmacology, metabolism: Ethanol response (2 g/kg), hypothermia tolerance (positive scores) or sensitization (negative scores), day 3 minus day 1, in young adult females (50 to 123 days) [degrees C]"
BXD_10085,"Central nervous system, pharmacology, metabolism: Ethanol response (4 g/kg ip), hypothermia in young adult females (50 to 123 days) relative to baseline rectal body temperature (positive scores = hypothermia) [degrees C]"
BXD_10086,"Central nervous system, pharmacology, metabolism: Ethanol response (3 g/kg ip), hypothermia in young adult females (50 to 123 days) relative to baseline rectal body temperature (positive scores = hypothermia) [degrees C]"
BXD_10087,"Central nervous system, pharmacology, metabolism: Ethanol response (2 g/kg ip), hypothermia in young adult females (50 to 123 days) relative to baseline rectal body temperature (positive scores = hypothermia) [degrees C]"
BXD_10088,"Central nervous system, pharmacology, behavior: Ethanol response (2 g/kg ip), acute difference in locomotion between experimental ethanol-condidtioned and saline control group of males [activity counts/min]"
BXD_10089,"Central nervous system, pharmacology, behavior: Ethanol response (2 g/kg ip), locomotor tolerance or sensitization in males, difference between activity after fourth ethanol trial and first trial [cm]"
BXD_10090,"Central nervous system, pharmacology, behavior: Ethanol response (2 g/kg ip), conditioned place preference (CPP) for the ethanol-paired grid compartment in males in the experimental group over a 30 min trial test [% time]"
BXD_10091,"Central nervous system, pharmacology, behavior: Saline control response (vehicle ip) of ethanol-treated (2 mg/kg ip) males, locomotion 1-5 min after saline injection, trial 4 (experimental group, prior ethanol exposure) [activity counts per min]"
BXD_10092,"Central nervous system, pharmacology, behavior: Ethanol response (2 g/kg ip), locomotion from 1-5 min after injection, conditioning trial 1 in males [activity counts per min]"
BXD_10093,"Central nervous system, behavior: Floor preference baseline, time on grid textured floor for experimental group of males [sec/min]"
BXD_10094,"Central nervous system, pharmacology, behavior: Locomotion from 1-5 min after a single saline i.p. injection for the control group of males [activity/min]"
BXD_10095,"Central nervous system, pharmacology, behavior: Saline control response (vehicle, ip), locomotion of control group from 1-5 min after injection on trial 1 [activity/min]"
BXD_10096,"Central nervous system, pharmacology, behavior: Locomotion from 1-5 min after a saline injection for the control group of males on trial 4 [activity/min]"
BXD_10097,"Central nervous system, pharmacology, behavior: Ethanol response (2 g/kg ip), conditioned place preference (CPP) for the ethanol-paired grid compartment in experimental group males [s/min]"
BXD_10098,"Central nervous system, pharmacology, behavior: Ethanol response (2 g/kg ip), conditioned place preference (CPP) for the ethanol-paired hole floor in experimental group males [s/min]"
BXD_10099,"Central nervous system, behavior: Saline control response (vehicle ip), habituation, locomotion from 1-5 min after a single saline injection for the experimental group of males [activity/min]"
BXD_10100,"Central nervous system, pharmacology, behavior: Locomotion from 1-5 min after a single saline ip injection of saline vehicle for the experimental group on trial 1 [activity counts per min]"
BXD_10101,"Central nervous system, behavior: Floor preference baseline, intrinsic preference for the grid-textured floor for the control group of males [s/min]"
BXD_10102,"Central nervous system, pharmacology, behavior: Ethanol response (2 g/kg ip), locomotion from 1-5 min after injection, conditioning trial 4 in males [activity counts per min]"
BXD_10103,"Central nervous system, behavior: Floor preference baseline, intrinsic preference for the grid-textured floor for the control group of males [s/min]"
BXD_10104,"Central nervous system, pharmacology, behavior: Ethanol response (2 g/kg ip), locomotor tolerance or sensitization in males, difference between experimental group (two prior exposures to ethanol) and saline control group on fourth conditioning day [activity counts/min]"
BXD_10105,"Central nervous system, pharmacology, behavior: Saline control response (0.9% ip), activity habituation in males [4th saline injection trial activity minus first saline activity trial activity]"
BXD_10106,"Central nervous system, morphology: Striatum cholinergic neurons, section 11 [n/section]"
BXD_10107,"Central nervous system, morphology: Striatum cholinergic neurons section 14 [n/section]"
BXD_10108,"Central nervous system, morphology: Striatum cholinergic neurons in section 17 [n/section]"
BXD_10109,"Central nervous system, morphology: Striatum cholinergic neurons section 20 [n/section]"
BXD_10110,"Central nervous system, morphology: Striatum cholinergic neurons section 22 [n/section]"
BXD_10111,"Central nervous system, morphology: Striatum cholinergic neurons section 24 [n/section]"
BXD_10112,"Aging: Lifespan, longevity of females (RWW winsorized outliers BXD2, BXD14, and DBA2J from 400, 500, and 175 days, respectively, data originally from Gelman et al. 1988, except parental strains) [days]"
BXD_10113,"Immune system, aging: Proliferative activity of hematopoietic stem cells, quiescent stem cells in aged mice, cobblestone area forming cells (CAFC) at day 35 in culture, frequency in bone marrow [CAFC per 10e5 bone marrow cells]"
BXD_10114,"Immune system, aging: Proliferative activity of hematopoietic stem cells, quiescent HSCs in aged mice, cobblestone area forming cells (CAFC) on day 35, frequency in bone marrow [CAFC per 10e5 bone marrow cells]"
BXD_10115,"Immune system, aging: Stem cell cycling, change in day 7 cobblestone area forming cell (CAFC) frequency during aging [%CAFC]"
BXD_10116,"Immune system, aging: Proliferative activity of hematopoietic stem cells, day 21 cobblestone area forming cell (CAFC) frequency change [% CAFC]"
BXD_10117,"Immune system, aging: Proliferative activity of hematopoietic stem cells, change in quiescent HSC percentage (cobblestone area-forming cells day 35 of culture) at 20 months [% CAFC]"
BXD_10118,"Immune system, aging: Stem cell frequency, cobblestone area-forming cell assay count (CAFC) on day 35 [CAFC per 10e5 bone marrow cells]"
BXD_10119,"Immune system, aging: Proliferative activity of hematopoietic stem cells on day 7 in culture [% CAFC]"
BXD_10120,"Central nervous system, pharmacology, behavior: Chlordiazepoxide response (10 mg/kg ip), acute locomotor activation, distance traveled 0 to 5 min after injection [cm]"
BXD_10121,"Central nervous system, pharmacology, behavior: Chlordiazepoxide response (10 mg/kg ip), acute locomotor activation, distance traveled 5 to 10 min after injection [cm]"
BXD_10122,"Central nervous system, pharmacology, behavior: Chlordiazepoxide response (10 mg/kg ip), acute locomotor activation, distance traveled 10 to 15 min after injection [cm]"
BXD_10123,"Central nervous system, pharmacology, behavior: Chlordiazepoxide response (10 mg/kg ip), acute locomotor activation, distance traveled 15 to 20 min after injection [cm]"
BXD_10124,"Central nervous system, pharmacology, behavior: Chlordiazepoxide response (10 mg/kg ip), acute locomotor activation, distance traveled 5 to 20 min after injection [cm]"
BXD_10125,"Central nervous system, pharmacology, behavior: Ethanol response (1.5 mg/kg ip), acute locomotor activation, distance traveled 0 to 5 min after injection [cm]"
BXD_10126,"Central nervous system, pharmacology, behavior: Ethanol response (1.5 mg/kg ip), acute locomotor activation, distance traveled 5 to 10 min after injection [cm]"
BXD_10127,"Central nervous system, pharmacology, behavior: Ethanol response (1.5 mg/kg ip), acute locomotor activation, distance traveled 10 to 15 min after injection [cm]"
BXD_10128,"Central nervous system, pharmacology, behavior: Ethanol response (1.5 mg/kg ip), acute locomotor activation, distance traveled 15-20 min after injection [cm]"
BXD_10129,"Central nervous system, pharmacology, behavior: Ethanol response (1.5 mg/kg ip), acute locomotor activation, distance traveled 5 to 20 min after injection (C15orf52 is strong candidate gene with nonsense mutation in D) [cm]"
BXD_10130,"Central nervous system, behavior: Saline control response (ip injection), locomotor activity, distance traveled 0 to 5 min after injection [cm]"
BXD_10131,"Central nervous system, behavior: Saline control response (ip injection), locomotor activity, distance traveled 5 to 10 min after injection [cm]"
BXD_10132,"Central nervous system, behavior: Saline control response (ip injection), locomotor activity, distance traveled 10 to 15 min after injection [cm]"
BXD_10133,"Central nervous system, behavior: Saline control response (ip injection), locomotor activity, distance traveled 15 to 20 min after injection [cm]"
BXD_10134,"Central nervous system, behavior: Saline control response (ip injection), locomotor activity, distance traveled 5 to 20 min after injection [cm]"
BXD_10135,"Central nervous system, pharmacology, behavior: Ethanol acceptance (10% in tap water after 24 hr water deprivation), raw mean consumption of adult males (same data as  Rodriguez et al, 1994 with outliers removed and two strains added) [g/kg body weight]"
BXD_10136,"Central nervous system, pharmacology, behavior: Ethanol acceptance (10% in tap water after 24 hr water deprivation) by young adult females (74-91 days, same data as in Rodriguez et al., 1994 with outliers removed and two strains added) [g/kg]"
BXD_10137,"Central nervous system, pharmacology, behavior: Ethanol acceptance (10% in tap water after 24 hr water deprivation) by young adult males (53-67 days, residual values and same data as Rodriguez et al, 1994 with outliers removed and two strains added) [g/kg]"
BXD_10138,"Central nervous system, pharmacology, behavior: Ethanol acceptance (10% in tap water after 24 hr water deprivation) by young adult females (74-91 day, residuals and same data as in Rodriguez et al, 1994 with outliers removed and two strains added) [g/kg]"
BXD_10139,"Central nervous system, pharmacology, behavior: Ethanol preference (10% in tap water), consumption using two-bottle choice in young adult males (53-67 days, same data as  Rodriguez et al, 1994 with outliers removed and two strains added) [g/kg]"
BXD_10140,"Central nervous system, pharmacology, behavior: Ethanol preference (10% in tap water), consumption using two-bottle choice in young adult females (74-91 days, and same data as Rodriguez et al, 1994 with outliers removed and two strains added) [g/kg]"
BXD_10141,"Central nervous system, pharmacology, behavior: Ethanol preference (10% in tap water), consumption using two-bottle choice in young adult males (53-67 days, residuals and same data as  Rodriguez et al, 1994 with outliers removed and two strains added) [g/kg]"
BXD_10142,"Central nervous system, pharmacology, behavior: Ethanol preference (10% in tap water), consumption using two-bottle choice in young adult females (74-91 days, residuals over a two week test period and same data as Rodriguez et al, 1994 with outliers removed and two strains added) [g/kg]"
BXD_10143,"Central nervous system, circadian rhythm: Sleep need, slow wave sleep delta EEG power after 6 hrs sleep deprivation, 4-6 males per strain at 92 days of age [%]"
BXD_10144,"Central nervous system, pharmacology, behavior: Ethanol response (escalating dose given ip), initial sensitivity measured as the ataxia onset threshold following first of five injections [mg/kg]"
BXD_10145,"Central nervous system, pharmacology, behavior: Ethanol response (escalating dose given ip), maximal threshold to ethanol induced ataxia [mg/ml]"
BXD_10146,"Central nervous system, pharmacology, behavior: Ethanol response (escalating dose given ip), tolerance, difference between ethanol induced ataxia (maximal threshold blood ethanol concentration BEC) minus onset threshold [mg/ml]"
BXD_10147,"Central nervous system, pharmacology, behavior: Ethanol response (escalating dose given ip), tolerance measured as the fold-increase of blood ethanol concentration (BEC) to ethanol-induced ataxia [ratio of tolerance BEC over initial BEC ataxia]"
BXD_10148,"Aging: Lifespan, longevity of females (mean age) at the Dana-Faber Cancer Institute (Redstone Animal Facility, Boston MA) from Jackson Laboratory between Nov 1982 and Mar 1983 on Purina chow (all data reinstated, authors initially excluded BXD13 due to seizures and BXD31 and BXD32 due to poor marker coverage, BXD13 winsorised to 439) [days]"
BXD_10149,"Liver, metabolism: Hepatic lipid peroxidation (LPO) levels in 2-month-old males [malondialdehyde (MDA)/mg]"
BXD_10150,Immune system: Thymic T-cell proliferative unresponsiveness (anergy) to anti-CD3-induced proliferation (chemokine-associated) [units]
BXD_10151,"Central nervous system, pharmacology, behavior: Ethanol response (10% in water po), total fluid intake during 4-day forced 10% ethanol exposure period [ml/day]"
BXD_10152,"Central nervous system, pharmacology, behavior: Fluid intake (total) during free choice ethanol period [ml/day]"
BXD_10153,"Central nervous system, pharmacology, behavior: Ethanol response (10% in water, po), preference during 3-week free choice period using two-bottle choice test for males [fraction]"
BXD_10154,"Central nervous system, pharmacology, behavior: Ethanol response (10% in water po), preference during free choice period for females using two-bottle choice test [ratio]"
BXD_10155,"Central nervous system, pharmacology, behavior: Ethanol response (10% in water, po), consumption during 3-week free choice period using two-bottle choice test for males [gm/kg/day]"
BXD_10156,"Central nervous system, pharmacology, behavior: Ethanol response (10% in water, po), consumption during free choice period for females using two-bottle choice test [gm/kg/day]"
BXD_10157,Morphology: Body weight [g]
BXD_10158,"Central nervous system, pharmacology, behavior: Ethanol response (10% in water po), ethanol preference ratio using a two-bottle choice test [ratio]"
BXD_10159,"Central nervous system, pharmacology, behavior: Ethanol response (10% in tap water), voluntary consumption ratio using a two-bottle choice test [gm/kg]"
BXD_10160,"Liver, protein: Catalase activity in liver [uMol]"
BXD_10161,"Central nervous system, protein: Catalase activity in brain [nMol]"
BXD_10162,"Liver, protein: Aldehyde dehydrogenase (ALDH) activity in liver [nMol NADH/min/mg]"
BXD_10163,"Central nervous system, protein: Aldehyde dehydrogenase (ALDH) activity in brain [nMol NADH/min/mg protein]"
BXD_10164,"Central nervous system, behavior: Home cage activity level 10-14 week old males after saline injection [quadrant crossings/min]"
BXD_10165,"Central nervous system, behavior, pharmacology: Methamphetamine response (4 mg/kg ip), locomotor activity difference from saline in 10-14 week males [quadrant crossings/min]"
BXD_10166,"Central nervous system, behavior, pharmacology: Methamphetamine response (8 mg/kg ip), locomotor activity difference from saline in 10-14 week males [quadrant crossings/min]"
BXD_10167,"Central nervous system, behavior, pharmacology: Methamphetamine response  (16 mg/kg ip), locomotor activity difference from saline control in 10-14 week males [quadrant crossings/min]"
BXD_10168,"Central nervous system, behavior, pharmacology: Methamphetamine response (16 mg/kg ip), frequency of sterotyped chewing events 33 min after injection in 10-14 week males [quadrant crossings/min]"
BXD_10169,"Central nervous system, pharmacology, metabolism: Methamphetamine response (4 mg/kg ip), body temperature change 48 min after injection in 10-14 week males [degree C]"
BXD_10170,"Central nervous system, metabolism, pharmacology: Methamphetamine response (8 mg/kg ip), body temperature change 48 min after injection in 10-14 week males [degree C]"
BXD_10171,"Central nervous system, pharmacology, metabolism: Methamphetamine response (16 mg/kg ip), body temperature change 48 min after injection in 10-14 week males [degree C]"
BXD_10172,"Central nervous system, pharmacology: Methamphetamine response (8 mg/kg ip), brain concentration in brain after injection in 10-14 week males [ug/gm]"
BXD_10173,"Central nervous system, behavior, pharmacology: Methamphetamine response (16 mg/kg ip), climbing scores of 10-14 week females 1 hr period after injection, 0=on floor, 1=two paws up; 3=climbing [index]"
BXD_10174,"Central nervous system, pharmacology: Methamphetamine response (4 mg/kg ip), brain concentration after injection in 10-14 week males [ug/gm]"
BXD_10175,"Pharmacology, metabolism: Ethanol response (2 g/kg ip), rate of ethanol clearance [mg/ml/hr]"
BXD_10176,"Pharmacology, metabolism: Ethanol response (3 g/kg ip), rate of clearance, beta [mg/ml/hr]"
BXD_10177,"Pharmacology. metabolism: Ethanol response (2 g/kg ip), blood ethanol concentration (BEC) 60 min after injection [mg/ml]"
BXD_10178,"Pharmacology, metabolism: Ethanol response (3 g/kg ip), blood ethanol concentration (BEC) 60 min after injection [mg/ml]"
BXD_10179,"Cancer biology: Metastasis of implanted breast tumor in lymph node, cases with tumor metastasis [n]"
BXD_10180,"Cancer biology: Metastasis of implanted breast tumor in pancreas, cases with tumor metastasis [n]"
BXD_10181,Cancer biology: Necrosis of implanted breast tumor [n]
BXD_10182,"Cancer biology: Syngeneic breast tumor growth, number of cases with tumor metastasis [n]"
BXD_10183,"Cancer biology: Syngeneic breast cancer tumor growth, day 5 [mm3]"
BXD_10184,Cancer biology: Growth of syngeneic breast cancer tumors day 10 [mm3]
BXD_10185,Cancer biology: Growth of syngeneic breast cancer tumors day 15 [mm3]
BXD_10186,"Cancer biology: Syngeneic breast cancer tumor growth, day 20 [mm3]"
BXD_10187,Cancer biology: Growth of syngeneic breast cancer tumors day 25 [mm3]
BXD_10188,Cancer biology: Syngeneic breast cancer tumor growth at day 30 [mm3]
BXD_10189,"Cancer biology: Syngeneic breast cancer tumor growth, day 35 [mm3]"
BXD_10190,Cancer biology: Growth of syngeneic breast cancer tumors day 40 [mm3]
BXD_10191,Cancer biology: Growth of syngeneic breast cancer tumors day 45 [mm3]
BXD_10192,Cancer biology: Growth of syngeneic breast cancer tumors day 50 [mm3]
